id,title,area,severity,discovered_in,symptom,root_cause,repro,evidence,threatens,owner_phase,fix_approach,status,regression_test,commit,resolution_note,related
D-001,로컬 작업본이 git 관리 밖에 있다,infra,P0,step1.1,3개월간 변경 이력 추적 불가; 원격과 격차 미확인,2026-05-10 이후 .git 부재,git rev-parse --is-inside-work-tree 가 fatal 반환,evidence/phase01/local-vs-remote-diff.md,G1,phase01,원격 클론 후 reset --mixed 접목,fixed,,1304501,Phase 1 Step 1.2 에서 해소. 로컬은 원격의 subset 이었고 병합 충돌 없음,
D-002,canonical_hash 가 플랫폼 간 불일치한다,repro,P0,step2.3,extended-tests snapshot 10건+ 실패; design_hash 와 표시 수치는 일치하나 canonical_hash 만 상이,기본 engine A2 가 nleqslv 를 ftol=1e-12 로 돌려 해가 상대오차 ~1e-12(약 5000 ULP)까지만 결정되는데 canonical_hash 는 반올림 없이 원시 IEEE-754 비트를 해시한다. 비트 단위 cross-platform 계약은 달성 불가능,Rscript evidence/phase02/scripts/hash-drift.R,evidence/phase02/hash-drift-analysis.txt;evidence/phase02/reproducibility-contract-audit.md,G2·G4,phase04,D1 결정에 종속. O1(Linux 재생성)은 문제를 이전시킬 뿐이므로 O2(허용오차 해시) 또는 O3(이중 계약) 권고,open,,,,D-007
D-003,기본 테스트 실행이 통계 불변량 30건을 skip 한다,test,P0,step2.2,기본 devtools::test() 가 green 이지만 표준화 계약 T13-T17·property P01-P12·분포검정 T1b/T4/T9 가 실행되지 않음,slow/property 게이트가 환경변수 기본값 뒤에 있음,testthat::test_local('.') 출력의 Skipped 30건,evidence/phase02/test-skip-matrix.csv,G3,phase05,D3 결정에 종속. 게이트 전부 켜는 비용이 +94.6초뿐이므로 축소 없이 켜기 권고,open,,,,
D-004,DESCRIPTION 이 미구현 DPM 을 8번째 shape 로 광고한다,surface,P0,step2.4,gen_effects(true_dist='DPM') 은 E22 로 abort 하나 DESCRIPTION·NEWS·README·index·_pkgdown 18곳이 'eight distribution shapes' 를 주장,stub-not-silent 정책이 DESCRIPTION 수준까지 확장되지 않음,Rscript evidence/phase02/scripts/surface-audit.R — 8개 중 6개만 즉시 동작(User 는 g_fn 필요; DPM 은 abort),evidence/phase02/surface-audit.txt;evidence/phase02/true-dist-implementation.csv,G5,phase07,D2 결정 = 광고 축소. 18곳 전수 수정,open,,,,D-018
D-005,.lintr 이 원격에 미추적이라 CI lint 가 기본 규칙으로 실행됐다,infra,P0,step2.1,CI lint 실패. 로컬 65건 대비 CI 조건에서 440건,actions/checkout 이 추적 파일만 가져오는데 .lintr 이 원격 235개 추적 파일에 없었음,.lintr 을 임시로 옮기고 lintr::lint_package() 실행 → 440건,evidence/phase02/ci-forensics.md,G2·G6,phase01,추적에 추가,fixed,,b7c1b79,Phase 1 Step 1.2 에서 .lintr 과 .pre-commit-config.yaml 을 추적에 추가,D-006
D-006,lint 위반 65건 (프로젝트 .lintr 기준),infra,P0,step2.1,lint workflow 는 위반 1건도 허용하지 않음(quit status 1),infix_spaces 22 · object_name 22 · line_length 11 · brace 6 · semicolon 2 · commented_code 1 · indentation 1,lintr::lint_package(),evidence/phase01/baseline-raw/lint.txt,G2·G6,phase06,코드 수정 우선; .lintr 조정은 근거 필요; nolint 는 사유 주석 필수,open,,,,D-005
D-007,test-golden.R 의 바이너리 비교가 cross-OS 면제 정책을 무력화한다,repro,P0,step2.1,정책은 macOS/Windows 를 strict hash 에서 면제하지만 test-golden.R 은 게이트 없이 .rds 9개를 compare_file_binary 로 비교,T1a 는 skip_if_not_linux_strict_hash() 로 보호되나 test-golden.R 은 보호되지 않음,grep -c 'skip_if_not' tests/testthat/test-golden.R → 0,evidence/phase02/ci-forensics.md §4,G4,phase04,게이트 정책과 아티팩트 검증 방식을 일치시킨다,open,,,,D-002
D-008,CI 실패 알림이 없어 10주간 방치됐다,infra,P0,step2.1,extended-tests 가 2026-05-11~07-13 주간 스케줄로 10회 연속 실패했으나 아무 조치 없음; 저장소 이슈 0건,workflow 에 실패 시 이슈 생성/알림 스텝 부재,gh run list --repo joonho112/multisiteDGP,evidence/phase02/ci-forensics.md §7,G2,phase06,실패 시 이슈 자동 생성 또는 알림 경로 추가. 의도적 실패로 검증,open,,,,
D-009,test-coverage 실패 원인 미확정,infra,P1,step2.1,workflow 실패. 커버리지 게이트(>=90%)는 로컬 재현에서 91.36% 로 통과하므로 원인이 아님,후보 B-1 Linux 에서 snapshot 테스트 실패가 covr 로 전파 / 후보 B-2 CODECOV_TOKEN 만료로 fail_ci_if_error,CI 조건 재현: evidence/phase02/ci-coverage-repro.txt,evidence/phase02/ci-forensics.md §5,G2,phase06,Linux 또는 CI 접근 후 확정. B-1 이 유력,open,,,,D-019
D-010,multisitepower 설치 경로가 어디에도 문서화되지 않았다,surface,P1,step1.3,as_multisitepower() adapter 를 광고하나 CRAN 미배포이고 개발 소스 URL 이 DESCRIPTION·vignette·정책·NEWS 어디에도 없음,릴리스 시 설치 안내 누락,install.packages('multisitepower') 실패 후 grep -ri multisitepower 로 URL 부재 확인,evidence/phase01/dependency-status.csv,G5,phase07,설치 URL 문서화 또는 adapter 를 실험 기능으로 표시,open,,,,
D-011,StudentT 작은 nu 에서 단위분산 계약이 실현되지 않고 경고 문구가 오도한다,kernel,P1,step2.5,nu=2.1 에서 var(z_j) 중앙값 0.418 (12개 시드 IQR 0.056 으로 재현적). nu=2.5 는 0.911 nu=3 은 0.986 nu>=4 는 1.000,표준화 상수는 이론적으로 옳으나(sqrt(nu/(nu-2))) t(2.1)의 표본분산이 200000 draw 에서도 8.02 로 이론값 21.0 에 크게 못 미쳐 실현 분산이 0.42 가 된다. 현재 경고는 '노이즈일 수 있다'고만 말해 계통적 편의를 오도한다,Rscript evidence/phase02/scripts/t-heavy-tail.R,evidence/phase02/studentt-heavy-tail-check.txt,G5,phase07,경고 문구를 실현 분산 부족으로 정정하고 roxygen 에 nu 하한 권고 명시. blueprint BR7/V06 과 연계,open,,,,
D-012,Engine A2 solver 실현 불가능 영역이 문서화되지 않았다,docs,P2,step2.6,nj_mean x cv 격자 48셀 중 5셀 실패 — (10 cv>=0.6) 및 (25 1.3). fail-fast 메시지는 명확함,solver 실현 가능 영역이 roxygen 에 서술되지 않음,Rscript evidence/phase02/scripts/kernel-audit.R,evidence/phase02/solver-feasible-region.csv,,phase07,gen_site_sizes/multisitedgp_design roxygen 에 실현 가능 영역 요약 추가,open,,,,
D-013,tarball 9.2MB 중 inst/doc 이 13.7MB(압축전),perf,P2,step1.4,m2-g-distribution-catalog.html 2.2MB 등 vignette HTML 에 plot 이 base64 임베드,knitr 기본 self-contained 출력,tar tzvf multisiteDGP_0.1.1.tar.gz,evidence/phase01/cleanup-manifest.md,,phase09,CRAN 권장 5MB 초과. v0.2.0 은 CRAN 제출 범위가 아니므로 릴리스 미차단,open,,,,
